Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1976,D,981,981,2688.5107448237172,0.3648860254282983
1977,D,997,997,2688.5107448237172,0.37083727558818896
1978,D,2548,2548,2688.5107448237172,0.9477365879625933
1979,D,2577,2577,2688.5107448237172,0.9585232288773952
1980,D,1440,1440,2688.5107448237172,0.5356125143901626
1981,D,1092,1092,2688.5107448237172,0.40617282341253996
1982,D,2079,2079,2688.5107448237172,0.7732905676507973
1983,D,2016,2016,2688.5107448237172,0.7498575201462276
1984,D,1826,1826,2688.5107448237172,0.6791864244975256
1985,D,1317,1317,2688.5107448237172,0.48986227878600286
1986,D,1478,1478,2688.5107448237172,0.549746733519903
1987,D,1495,1495,2688.5107448237172,0.5560699368147869
1988,D,1563,1563,2688.5107448237172,0.5813627499943224
1989,D,1552,1552,2688.5107448237172,0.5772712655093974
1990,D,2097,2097,2688.5107448237172,0.7799857240806742
1991,D,2190,2190,2688.5107448237172,0.8145773656350389
1992,D,2345,2345,2688.5107448237172,0.8722301015589801
1993,D,2710,2710,2688.5107448237172,1.0079929958314866
1994,D,2408,2408,2688.5107448237172,0.8956631490635497
1995,D,2712,2712,2688.5107448237172,1.008736902101473
1996,D,2502,2502,2688.5107448237172,0.9306267437529075
1997,D,2193,2193,2688.5107448237172,0.8156932250400184
1998,D,2978,2978,2688.5107448237172,1.1076764360096556
1999,D,4760,4760,2688.5107448237172,1.7704969225674818
2000,D,6112,6112,2688.5107448237172,2.2733775610782456
2001,D,7193,7193,2688.5107448237172,2.675458900005861
2002,D,8582,8582,2688.5107448237172,3.192101804511372
2003,D,9507,9507,2688.5107448237172,3.5361584543800526
2004,D,10397,10397,2688.5107448237172,3.8671967445239726
2005,D,13526,13526,2688.5107448237172,5.031038103917597
2006,D,23692,23692,2688.5107448237172,8.812313674258148
2007,D,32024,32024,2688.5107448237172,11.911427195021227
2008,D,40799,40799,2688.5107448237172,15.17531595458628
2009,D,43231,43231,2688.5107448237172,16.079905978889666
2010,D,43027,43027,2688.5107448237172,16.00402753935106
2011,D,52679,52679,2688.5107448237172,19.594119198305123
2012,D,74457,74457,2688.5107448237172,27.694514572186346
2013,D,85417,85417,2688.5107448237172,31.771120931711472
2014,D,114657,114657,2688.5107448237172,42.64703059891172
2015,D,134312,134312,2688.5107448237172,49.957769467202446
2016,D,145414,145414,2688.5107448237172,54.0871931718966
2017,D,180071,180071,2688.5107448237172,66.97797297135484
2018,D,214919,214919,2688.5107448237172,79.93979581959677
2019,D,256322,256322,2688.5107448237172,95.33977146771893
2020,D,346038,346038,2688.5107448237172,128.70991892676602
2021,D,414575,414575,2688.5107448237172,154.20247093979282
2022,D,7163,7163,2688.5107448237172,2.6643003059560657
