Year,holc_grade,n_obs,cumsum_n_obs,area_sum,sampling_density
1988,D,1563,45441,2688.5107448237172,16.901922407224568
1989,D,1552,46993,2688.5107448237172,17.479193672733967
1990,D,2097,49090,2688.5107448237172,18.25917939681464
1991,D,2190,51280,2688.5107448237172,19.07375676244968
1992,D,2345,53625,2688.5107448237172,19.94598686400866
1993,D,2710,56335,2688.5107448237172,20.953979859840146
1994,D,2408,58743,2688.5107448237172,21.849643008903694
1995,D,2712,61455,2688.5107448237172,22.85837991100517
1996,D,2502,63957,2688.5107448237172,23.789006654758076
1997,D,2193,66150,2688.5107448237172,24.604699879798094
1998,D,2978,69128,2688.5107448237172,25.71237631580775
1999,D,4760,73888,2688.5107448237172,27.48287323837523
2000,D,6112,80000,2688.5107448237172,29.75625079945348
2001,D,7193,87193,2688.5107448237172,32.43170969945934
2002,D,8582,95775,2688.5107448237172,35.62381150397071
2003,D,9507,105282,2688.5107448237172,39.159969958350764
2004,D,10397,115679,2688.5107448237172,43.02716670287474
2005,D,13526,129205,2688.5107448237172,48.05820480679233
2006,D,23692,152897,2688.5107448237172,56.87051848105048
2007,D,32024,184921,2688.5107448237172,68.7819456760717
2008,D,40799,225720,2688.5107448237172,83.95726163065798
2009,D,43231,268951,2688.5107448237172,100.03716760954765
2010,D,43027,311978,2688.5107448237172,116.04119514889871
2011,D,52679,364657,2688.5107448237172,135.63531434720383
2012,D,74457,439114,2688.5107448237172,163.32982891939017
2013,D,85417,524531,2688.5107448237172,195.10094985110166
2014,D,114657,639188,2688.5107448237172,237.74798045001336
2015,D,134312,773500,2688.5107448237172,287.7057499172158
2016,D,145414,918914,2688.5107448237172,341.7929430891124
2017,D,180071,1098985,2688.5107448237172,408.77091606046724
2018,D,214919,1313904,2688.5107448237172,488.710711880064
2019,D,256322,1570226,2688.5107448237172,584.0504833477829
2020,D,346038,1916264,2688.5107448237172,712.7604022745489
2021,D,414575,2330839,2688.5107448237172,866.9628732143418
2022,D,7163,2338002,2688.5107448237172,869.6271735202979
